iter	Passed	Remaining
0	0	45
1	0	46
2	1	45
3	1	41
4	2	40
5	2	39
6	2	39
7	3	38
8	3	37
9	4	37
10	4	36
11	4	36
12	5	35
13	5	35
14	6	34
15	6	33
16	6	33
17	7	32
18	7	32
19	7	31
20	8	31
21	8	30
22	9	30
23	9	30
24	9	29
25	10	29
26	10	28
27	11	28
28	11	27
29	11	27
30	12	27
31	12	27
32	13	26
33	13	26
34	14	26
35	14	25
36	14	25
37	15	25
38	15	24
39	16	24
40	16	23
41	16	23
42	17	22
43	17	22
44	18	22
45	18	21
46	18	21
47	19	20
48	19	20
49	20	20
50	20	19
51	20	19
52	21	18
53	21	18
54	21	17
55	22	17
56	22	17
57	23	16
58	23	16
59	24	16
60	24	15
61	24	15
62	25	14
63	25	14
64	26	14
65	26	13
66	26	13
67	27	12
68	27	12
69	28	12
70	28	11
71	28	11
72	29	10
73	29	10
74	30	10
75	30	9
76	30	9
77	31	8
78	31	8
79	32	8
80	32	7
81	32	7
82	33	6
83	33	6
84	34	6
85	34	5
86	34	5
87	35	4
88	36	4
89	36	4
90	36	3
91	37	3
92	37	2
93	38	2
94	38	2
95	38	1
96	39	1
97	39	0
98	40	0
99	40	0
